,popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average
88,1.9597650000000002,0,2000000,Equals,101,Drama,2015-09-04,135,5.6
89,1.95632,50000000,3324330,Child 44,137,Crime,2015-03-15,341,5.9
90,1.926739,5000000,58978653,The Gift,108,Thriller,2015-07-30,631,6.6
91,1.904898,50000000,240360392,Daddy's Home,96,Comedy,2015-12-25,568,5.7
92,1.876037,0,0,Mythica: The Necromancer,0,Fantasy,2015-12-19,11,5.4
93,1.872696,10000000,0,Vice,96,Thriller,2015-01-16,181,4.1
94,1.865007,64000000,97571250,The Little Prince,92,Adventure,2015-07-29,423,7.5
95,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,92,Adventure,2015-12-17,278,5.7
96,1.82313,11930000,18340000,The Dressmaker,118,Drama,2015-10-01,197,6.9
97,1.758618,8500000,43528634,The DUFF,100,Romance,2015-02-20,753,6.8
98,1.742286,10000000,52882018,Sinister 2,97,Horror,2015-08-19,331,5.5
99,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,94,Action,2015-04-16,422,5.3
100,1.7247119999999898,0,0,Frozen Fever,8,Adventure,2015-03-09,475,7.0
101,1.661789,0,0,High-Rise,119,Action,2015-09-26,161,5.4
102,1.6510779999999898,4000000,50163103,The Boy Next Door,91,Thriller,2015-01-23,810,3.9
103,1.646664,0,0,Spooks: The Greater Good,104,Thriller,2015-04-11,114,5.6
104,1.532997,30000000,49263404,Entourage,104,Comedy,2015-06-03,364,6.2
105,1.5100959999999999,23000000,79799880,The Wedding Ringer,101,Comedy,2015-01-16,446,6.5
106,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,93,Comedy,2015-10-23,288,6.2
107,1.495112,5000000,98450062,The Visit,94,Horror,2015-09-10,729,5.9
108,1.4832459999999899,53000000,99775678,Black Mass,122,Crime,2015-09-04,848,6.3
109,1.449072,8900000,50136,Heist,93,Crime,2015-11-13,233,5.4
110,1.448002,15000000,61548707,Krampus,98,Horror,2015-11-26,342,5.9
111,1.443406,20000000,208588,Dark Places,113,Drama,2015-03-31,322,5.7
112,1.41239,5000000,54418872,No Escape,103,Action,2015-08-26,519,6.7
113,1.40805,700000,17986781,Dope,103,Crime,2015-06-19,448,7.3
114,1.3882510000000001,28000000,28208085,American Ultra,96,Comedy,2015-08-19,695,5.9
115,1.388032,11000000,61619773,Woman in Gold,120,Drama,2015-04-10,277,7.3
116,1.38032,0,0,The Scorpion King: The Lost Throne,105,Action,2015-01-09,22,4.5
117,1.3766049999999999,30000000,105011053,Sisters,118,Comedy,2015-12-18,399,5.9
118,1.360926,12000000,32248241,Project Almanac,106,Science Fiction,2015-01-30,637,6.3
119,1.360827,0,5189646,Absolutely Anything,85,Comedy,2015-06-26,199,5.8
120,1.3558219999999999,25000000,72629670,The Transporter Refueled,96,Thriller,2015-09-03,407,5.3
121,1.345982,55000000,74679822,Crimson Peak,119,Mystery,2015-10-13,819,6.4
122,1.342839,0,0,Everly,90,Thriller,2015-01-23,169,5.1
123,1.338481,14800000,122413057,Magic Mike XXL,115,Comedy,2015-07-01,501,6.3
124,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,88,Horror,2015-10-21,267,5.0
125,1.329702,0,229094,Slow West,84,Romance,2015-04-16,229,6.6
126,1.316239,15000000,8235661,Trumbo,124,Drama,2015-10-27,273,7.2
127,1.315266,19500000,32189727,Secret in Their Eyes,111,Crime,2015-10-14,202,6.2
128,1.29314,0,2500431,Mistress America,84,Comedy,2015-08-14,132,6.4
129,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,93,Family,2015-02-05,533,5.7
130,1.284541,0,4719695,True Story,100,Crime,2015-04-17,354,6.0
131,1.278928,20000000,43967255,Max,111,Adventure,2015-06-26,214,7.0
132,1.25358,0,59700000,Shaun the Sheep Movie,85,Family,2015-02-05,340,6.9
133,1.251681,11000000,0,Louder Than Bombs,109,Drama,2015-05-18,43,6.3
134,1.2452239999999999,0,1702433,A Perfect Day,106,Comedy,2015-08-28,102,6.3
135,1.225325,40000000,10664749,The Gunman,115,Action,2015-02-16,283,5.6
136,1.191138,1000000,62882090,Unfriended,82,Horror,2015-04-17,643,5.6
137,1.178831,35000000,51680201,Hot Pursuit,87,Action,2015-05-08,472,5.5
138,1.1647239999999999,10000000,104303851,Insidious: Chapter 3,97,Drama,2015-06-04,610,6.3
139,1.161812,0,118483,Z for Zachariah,97,Drama,2015-08-13,181,5.5
140,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,97,Action,2015-02-24,59,4.5
141,1.142518,6000000,41387687,The Lady in the Van,104,Comedy,2015-11-13,135,5.9
142,1.138395,40000000,34227298,Victor Frankenstein,109,Drama,2015-11-10,408,5.5
143,1.128081,0,0,Brothers of the Wind,98,Adventure,2015-12-24,11,7.5
144,1.1252389999999999,8000000,3759286,Anomalisa,90,Animation,2015-12-30,259,6.7
145,1.0733489999999999,1800000,0,Bone Tomahawk,132,Horror,2015-10-23,220,6.3
146,1.065888,0,17671101,Regression,106,Horror,2015-10-01,310,5.2
147,1.0630549999999999,0,0,Pawn Sacrifice,114,Drama,2015-09-16,148,6.6
148,1.046518,0,11472454,The Man Who Knew Infinity,108,Drama,2015-09-17,104,7.1
149,1.041922,20000000,0,Momentum,96,Thriller,2015-08-01,100,5.8
150,1.03839,2000000,1477002,The Diary of a Teenage Girl,102,Drama,2015-08-07,186,6.8
151,1.036825,0,0,Pay the Ghost,94,Horror,2015-09-16,114,5.3
152,1.02762,0,0,The Voices,101,Horror,2015-02-06,371,6.0
153,1.021441,0,3643591,Last Knights,115,Action,2015-04-03,237,6.3
154,1.0084739999999999,12000000,0,Il racconto dei racconti,125,Romance,2015-05-14,211,5.7
155,1.0070540000000001,11000000,27391084,Irrational Man,95,Mystery,2015-07-17,319,6.1
156,0.973316,15000000,0,Queen of the Desert,128,Drama,2015-09-03,30,6.0
157,0.956096,18000000,41325328,Ricki and the Flash,100,Comedy,2015-07-10,152,5.5
158,0.9536469999999999,0,0,Miss You Already,112,Comedy,2015-09-12,139,7.2
159,0.953046,630019,0,Kung Fury,31,Action,2015-05-28,487,7.7
160,0.950793,12000000,60273173,The Perfect Guy,100,Drama,2015-09-11,122,5.6
161,0.9384319999999999,0,1936524,A Bigger Splash,120,Crime,2015-11-26,69,5.8
162,0.9376200000000001,10000000,7587485,While We're Young,97,Drama,2015-03-27,265,5.9
163,0.9273389999999999,40000000,106511453,Get Hard,100,Comedy,2015-03-26,661,5.9
164,0.91704,0,0,Kidnapping Mr. Heineken,95,Drama,2015-03-12,131,5.8
165,0.913085,60000000,0,The Ridiculous 6,119,Comedy,2015-12-11,252,4.8
166,0.90686,0,0,Kill Me Three Times,90,Comedy,2015-04-10,96,5.1
167,0.9060360000000001,25000000,24902723,The 33,120,History,2015-08-06,262,5.8
168,0.898295999999999,14000000,16002420,Suffragette,106,Drama,2015-10-16,231,7.1
169,0.8944770000000001,0,0,45 Years,95,Drama,2015-08-28,167,6.0
170,0.880937999999999,6000000,11122090,We Are Your Friends,96,Drama,2015-08-26,412,6.2
171,0.880268,0,6075,Barely Lethal,96,Adventure,2015-04-30,215,5.5
172,0.874641,0,13192457,Macbeth,113,History,2015-08-16,269,6.4
173,0.872149,0,16775,Extraction,83,Action,2015-12-18,57,4.2
174,0.8611790000000001,0,0,Jenny's Wedding,94,Comedy,2015-07-31,92,5.2
175,0.848748,0,0,Descendants,112,Music,2015-07-31,262,6.7
176,0.843174,0,0,Tumbledown,105,Music,2015-04-18,22,6.6
177,0.842202,0,30229977,Far from the Madding Crowd,119,Romance,2015-05-01,220,6.9
178,0.8369409999999989,0,3002884,The End of the Tour,106,Drama,2015-07-31,126,7.3
179,0.8324870000000001,10000000,85978266,The Second Best Exotic Marigold Hotel,122,Drama,2015-02-26,196,6.4
180,0.829111,20000000,6420319,Little Boy,106,Comedy,2015-04-23,113,7.1
181,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,48,Action,2015-02-10,14,6.4
182,0.820691,0,1986615,Remember,94,Drama,2015-10-23,75,7.7
183,0.814206,37000000,26250020,Aloha,105,Adventure,2015-05-27,469,5.2
184,0.813893,26000000,0,Accidental Love,100,Romance,2015-02-10,64,3.6
185,0.810667,0,0,Halo: The Fall of Reach,67,Action,2015-10-27,32,5.3
186,0.795762,28000000,7002261,Our Brand Is Crisis,108,Drama,2015-09-11,122,5.7
187,0.792471,0,0,Into the Forest,101,Drama,2015-06-03,57,5.1
188,0.7879689999999989,0,231737,The Invitation,100,Thriller,2015-03-13,192,6.4
189,0.781809,0,0,The Benefactor,90,Drama,2015-04-17,55,4.5
190,0.7739090000000001,0,0,Open Season: Scared Silly,85,Animation,2015-12-31,33,5.6
191,0.77107,0,134552,Cop Car,86,Thriller,2015-08-07,174,5.5
192,0.768138,0,0,Mojave,93,Thriller,2015-04-18,17,4.3
193,0.758133,0,3214116,Sleeping with Other People,100,Comedy,2015-06-26,197,6.2
194,0.747541,11000000,0,Forsaken,90,Western,2015-09-16,53,5.6
195,0.738404,0,8413144,Amy,128,Documentary,2015-07-03,345,7.5
196,0.7299,0,0,Madame Bovary,118,Drama,2015-06-04,52,5.3
197,0.719407,0,0,The Hallow,97,Fantasy,2015-11-06,122,4.9
198,0.7141310000000001,0,0,Barbie in Princess Power,74,Family,2015-01-29,13,5.5
199,0.7073550000000001,0,0,Howl,89,Horror,2015-10-01,62,4.9
200,0.706023,7000000,573335,Freeheld,103,Romance,2015-10-02,86,7.1
201,0.7013699999999989,0,0,Man Up,88,Romance,2015-05-29,264,6.5
202,0.699932,3000000,695269,Love,134,Drama,2015-07-06,307,4.7
203,0.69957,9600000,2541554,Truth,121,Drama,2015-09-12,89,6.4
204,0.696184,0,0,Return to Sender,95,Thriller,2015-05-31,88,5.0
205,0.690479,10000000,10835752,Danny Collins,107,Comedy,2015-03-20,114,6.6
206,0.6895789999999989,15000000,3020664,Rock the Kasbah,100,Comedy,2015-10-22,56,5.1
207,0.689571,2240000,0,Fathers and Daughters,116,Drama,2015-10-01,142,7.0
208,0.6737920000000001,1000000,14444999,"Hello, My Name Is Doris",95,Comedy,2015-11-27,87,6.6
209,0.669351,13000000,1784763,The Vatican Tapes,91,Thriller,2015-07-24,164,4.5
210,0.661471,8000000,1411927,99 Homes,112,Drama,2015-09-25,121,6.8
211,0.6611630000000001,14000000,12314651,Hot Tub Time Machine 2,93,Comedy,2015-02-20,244,5.0
212,0.654335,0,0,Knight of Cups,118,Romance,2015-09-10,101,5.7
213,0.654046,4000000,143101,Manglehorn,97,Drama,2015-06-03,35,5.0
214,0.649628,0,0,Mississippi Grind,108,Drama,2015-07-04,74,5.7
215,0.644786,0,0,400 Days,91,Mystery,2015-10-29,98,4.2
216,0.640151,0,0,Lava,7,Animation,2015-06-19,298,7.3
217,0.638556999999999,0,0,Air,94,Thriller,2015-08-14,135,4.7
218,0.633608,0,0,Riot,88,Action,2015-09-27,11,5.0
219,0.629560999999999,0,0,Septembers of Shiraz,110,Drama,2015-09-15,14,5.9
220,0.607124,0,8034,Every Thing Will Be Fine,118,Drama,2015-04-02,44,5.1
221,0.606113,0,0,Extinction,110,Drama,2015-08-07,135,5.3
222,0.604928,0,0,The Childhood of a Leader,116,Mystery,2015-09-02,25,3.6
223,0.602165,8000000,35991087,A Walk in the Woods,104,Drama,2015-09-02,171,5.4
224,0.599751,0,0,Clown,100,Horror,2015-03-02,182,5.2
225,0.599655,3300000,64110728,The Lazarus Effect,83,Thriller,2015-01-29,327,4.9
226,0.589472,0,0,Batman vs. Robin,72,Action,2015-04-14,142,6.8
227,0.586735,8000000,0,Careful What You Wish For,91,Thriller,2015-05-06,57,5.4
228,0.584363,0,0,Racing Extinction,90,Adventure,2015-01-24,36,7.8
229,0.577814,35000000,14431253,Unfinished Business,90,Comedy,2015-03-05,241,4.9
230,0.570743999999999,2000000,45431,Lost River,95,Fantasy,2015-04-08,129,5.7
231,0.569443,0,0,Cobain: Montage of Heck,132,Music,2015-03-23,197,7.5
232,0.561032,0,0,Hyena Road,120,War,2015-10-09,29,5.7
233,0.560743999999999,7000000,0,Criminal Activities,94,Thriller,2015-11-20,67,5.9
234,0.560423,12000000,0,Life,112,Drama,2015-07-24,75,5.9
235,0.553238,0,45710059,"McFarland, USA",128,Drama,2015-02-20,139,7.4
236,0.5485869999999989,0,0,Backtrack,90,Horror,2015-07-25,52,5.4
237,0.5478270000000001,0,0,X+Y,111,Drama,2015-03-13,133,6.0
238,0.546458,3000000,0,Home Sweet Hell,98,Drama,2015-03-13,136,4.9
239,0.542568,6000000,0,Ooops! Noah is Gone...,85,Animation,2015-04-09,50,5.7
240,0.5327,0,0,The Unspoken,90,Thriller,2015-10-24,10,4.1
241,0.532239,0,0,Hot Girls Wanted,84,Documentary,2015-05-29,158,5.9
242,0.532205,100000,42664410,The Gallows,87,Horror,2015-07-10,247,5.0
243,0.52985,0,0,Dirty Weekend,93,Drama,2015-09-04,12,4.8
244,0.527957,0,0,I Spit on Your Grave III: Vengeance is Mine,91,Horror,2015-10-09,100,5.0
245,0.526642,0,0,Experimenter,97,History,2015-10-16,94,6.9
246,0.524315,10000000,3334927,By the Sea,122,Drama,2015-11-12,82,5.4
247,0.52025,0,0,Woodlawn,123,Drama,2015-10-16,32,6.8
248,0.516954,0,0,The Hollow,90,Horror,2015-10-24,19,5.1
249,0.515401,0,0,Visions,80,Thriller,2015-08-28,67,5.5
250,0.514735,0,1236094,Beyond the Mask,103,Action,2015-04-06,13,6.2
251,0.513386,0,0,I Am Here,97,Drama,2015-06-12,18,4.0
252,0.50732,0,0,Wild Horses,100,Crime,2015-06-05,16,4.1
253,0.5048279999999989,0,0,Pressure,91,Drama,2015-06-04,29,5.0
254,0.5024890000000001,0,0,Hidden,83,Thriller,2015-09-15,96,6.5
255,0.49726499999999996,0,157768,Hell & Back,86,Fantasy,2015-10-02,47,4.3
256,0.48635100000000003,21000000,0,Robot Overlords,90,Adventure,2015-01-29,63,4.9
257,0.482422,0,0,The Man with the Iron Fists 2,90,Action,2015-03-10,43,4.7
258,0.47784,0,0,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,67,Action,2015-08-25,17,6.8
259,0.47634099999999996,0,0,Crown for Christmas,84,TV Movie,2015-11-27,10,7.6
260,0.475473,0,0,Spare Parts,83,Action,2015-01-16,38,6.6
261,0.474788,0,0,The World Made Straight,119,Drama,2015-01-09,13,5.8
262,0.47462600000000005,0,0,Last Shift,88,Horror,2015-10-06,77,5.6
263,0.473344,0,0,Frankenstein,89,Horror,2015-11-03,14,4.5
264,0.471393,0,0,Cartel Land,100,Drama,2015-07-03,112,7.5
265,0.471091,20000000,0,Superfast!,99,Comedy,2015-03-05,60,4.4
266,0.470991,0,0,Moonwalkers,107,Comedy,2015-03-14,53,6.0
267,0.470124,0,0,Chi-Raq,127,Music,2015-12-04,33,5.9
268,0.467556,5300000,0,Bad Asses on the Bayou,85,Comedy,2015-03-06,24,5.8
269,0.465707,0,13603453,Strange Magic,99,Music,2015-01-23,68,6.1
270,0.46208999999999995,9000000,21571189,Black or White,121,Drama,2015-01-30,72,6.7
271,0.45959700000000003,0,0,Dead Rising,118,Horror,2015-03-27,82,4.9
272,0.454151,0,0,Deathgasm,86,Comedy,2015-08-28,83,6.5
273,0.45293900000000004,0,0,Justice League: Gods and Monsters,76,Action,2015-07-28,99,6.9
274,0.45087200000000005,13000000,1646788,I Saw the Light,123,Drama,2015-09-11,19,5.6
275,0.45016000000000006,0,316472,Good Kill,104,Action,2015-04-09,132,5.7
276,0.44426499999999997,0,0,Southbound,89,Fantasy,2015-09-17,73,6.0
277,0.444193,0,0,Star Trek: Renegades,88,Action,2015-08-01,31,4.1
278,0.443525,0,0,The Boy,110,Thriller,2015-08-14,22,6.1
279,0.44283500000000003,0,0,Riley's First Date?,5,Animation,2015-11-03,137,7.3
280,0.44242700000000007,0,3286448,The Program,103,Drama,2015-09-16,107,5.9
281,0.442067,0,0,Lila & Eve,94,Thriller,2015-07-31,78,5.2
282,0.441882,0,0,The Final Girls,91,Horror,2015-10-09,211,6.6
283,0.441402,0,0,He Never Died,99,Thriller,2015-03-17,65,6.3
284,0.43959799999999893,0,0,A Very Murray Christmas,56,Comedy,2015-12-04,101,5.4
285,0.438409,0,0,Kill Your Friends,100,Thriller,2015-11-06,54,5.5
286,0.43708800000000003,0,0,Battle For SkyArk,88,Family,2015-05-18,18,3.5
287,0.43558199999999997,5000000,2333684,Jem and the Holograms,119,Drama,2015-10-22,69,5.7
288,0.43307299999999893,0,0,The Adderall Diaries,105,Thriller,2015-04-16,23,4.8
289,0.429892,10000000,0,Grizzly,94,Action,2015-02-27,35,5.0
290,0.427116,0,0,Where to Invade Next,120,Documentary,2015-12-23,67,7.2
291,0.424813,6000000,90777,Beasts of No Nation,137,Drama,2015-09-11,306,7.5
292,0.42316099999999995,0,0,A Christmas Horror Story,99,Horror,2015-10-02,56,5.6
293,0.42178999999999994,0,0,Sunset Song,135,Drama,2015-12-04,19,7.1
294,0.429756,0,4505,Synchronicity,101,Thriller,2015-07-22,45,5.3
295,0.417191,0,0,12 Gifts of Christmas,84,Family,2015-11-26,12,6.3
296,0.415041,0,0,The Pack,90,Thriller,2015-08-05,15,5.5
297,0.41491300000000003,3000000,3387000,Demonic,83,Thriller,2015-02-12,91,5.0
298,0.370258,0,0,The Girl in the Photographs,95,Crime,2015-09-14,10,4.7
299,0.41287700000000005,0,0,The Legend of Barney Thomson,96,Thriller,2015-07-24,21,5.7
300,0.41250299999999995,1000000,0,The Duke of Burgundy,101,Drama,2015-01-23,58,5.8
301,0.40969799999999995,0,0,88,88,Thriller,2015-01-06,20,4.4
302,0.405095,0,0,The Girl in the Book,86,Drama,2015-06-13,23,6.2
303,0.404511,0,0,Avengers Grimm,90,Fantasy,2015-03-17,23,3.8
304,0.40223600000000004,447524,771317,The D Train,101,Drama,2015-05-08,47,4.2
305,0.250209,0,0,The Lion Guard: Return of the Roar,44,Family,2015-11-22,48,5.9
306,0.399947,0,228136,A Royal Night Out,97,Thriller,2015-05-14,42,6.2
307,0.398982,0,0,Parallels,83,Science Fiction,2015-03-01,92,6.1
308,0.396791,0,830129,Born to Be Blue,97,Drama,2015-09-13,16,6.8
309,0.394466,1950000,0,The Marine 4: Moving Target,90,Thriller,2015-04-10,35,5.7
310,0.393642,0,0,Tales of Halloween,90,Horror,2015-10-16,74,5.3
311,0.39356599999999997,1000000,0,Blunt Force Trauma,92,Adventure,2015-10-05,23,4.4
312,0.391326,0,0,Operator,88,Thriller,2015-08-21,16,5.4
313,0.386529,0,0,The Human Centipede 3 (Final Sequence),103,Horror,2015-05-22,75,3.5
314,0.38340599999999997,0,49970,Spring,109,Horror,2015-03-20,110,6.5
315,0.383183,0,0,The Intruders,92,Thriller,2015-02-24,26,4.9
316,0.382997,0,0,We Are Still Here,84,Horror,2015-06-05,91,5.5
317,0.7128899999999989,0,0,Monster High: Haunted,75,Animation,2015-03-02,11,7.0
318,0.378836,0,0,3-Headed Shark Attack,90,Science Fiction,2015-07-20,15,3.8
319,0.37668,0,0,Navy Seals vs. Zombies,97,Horror,2015-10-08,24,3.3
320,0.411416,0,0,Wrecker,83,Thriller,2015-11-06,12,3.6
321,0.37485300000000005,0,0,The Escort,88,Comedy,2015-06-15,41,5.9
322,0.37288899999999997,0,0,Martyrs,86,Drama,2015-12-31,43,5.0
323,0.371145,0,0,Uncanny,91,Thriller,2015-01-31,21,6.1
324,0.370148,0,0,Bad Hair Day,90,TV Movie,2015-02-13,21,6.5
325,0.369529,5000000,0,Area 51,91,Horror,2015-05-15,82,4.4
326,0.369108,0,0,San Andreas Quake,90,TV Movie,2015-05-19,60,3.7
327,0.36817,6000000,0,The Runner,90,Drama,2015-08-07,35,4.8
328,0.367617,0,0,Advantageous,92,Science Fiction,2015-06-23,29,6.4
329,0.36743400000000004,0,0,Partisan,98,Thriller,2015-01-25,16,5.8
330,0.36603,4400000,0,R.L. Stine's Monsterville: The Cabinet of Souls,85,Comedy,2015-09-29,22,7.2
